[2024-12-29 18:59:08 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/forte/Forte.php, message: a1b2c3d4e5f6g7h8i9j0
[2024-12-29 18:59:08 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php, message: SELECT * FROM sessions WHERE session_id = ?
[2024-12-29 18:59:08 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php, message: SELECT * FROM users WHERE id = ?
[2024-12-29 19:04:16 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/forte/Forte.php, message: a1b2c3d4e5f6g7h8i9j0
[2024-12-29 19:04:16 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php, message: SELECT * FROM sessions WHERE session_id = ?
[2024-12-29 19:04:16 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php, message: SELECT * FROM users WHERE id = ?
[2024-12-29 19:05:01 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/forte/Forte.php, message: a1b2c3d4e5f6g7h8i9j0
[2024-12-29 19:05:01 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php, message: SELECT * FROM sessions WHERE session_id = ?
[2024-12-29 19:05:01 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php, message: SELECT * FROM users WHERE id = ?
[2024-12-29 19:05:01 EXCEPTION CAUGHT]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/forte/Forte.php, message: PDOException: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'orchestra.users' doesn't exist in /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php:205
Stack trace:
#0 /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php(205): PDOStatement->execute(Array)
#1 /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/forte/Forte.php(53): Orchestra\database\RecordBuilder->selectFirst()
#2 /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/app/Controllers/IndexController.php(38): Orchestra\forte\Forte::getAuthUser()
#3 [internal function]: {closure}(Object(Orchestra\http\Request))
#4 /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/routing/Router.php(118): call_user_func_array(Object(Closure), Array)
#5 /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/public/index.php(87): Orchestra\routing\Router::handle('GET', 'test', 'test', Object(Orchestra\http\Request))
#6 {main}
[2024-12-29 19:05:35 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/forte/Forte.php, message: a1b2c3d4e5f6g7h8i9j0
[2024-12-29 19:05:35 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php, message: SELECT * FROM sessions WHERE session_id = ?
[2024-12-29 19:05:35 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php, message: SELECT * FROM users WHERE id = ?
[2024-12-29 19:05:35 EXCEPTION CAUGHT]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/forte/Forte.php, message: PDOException: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'orchestra.users' doesn't exist in /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php:206
Stack trace:
#0 /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php(206): PDOStatement->execute(Array)
#1 /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/forte/Forte.php(53): Orchestra\database\RecordBuilder->selectFirst()
#2 /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/app/Controllers/IndexController.php(38): Orchestra\forte\Forte::getAuthUser()
#3 [internal function]: {closure}(Object(Orchestra\http\Request))
#4 /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/routing/Router.php(118): call_user_func_array(Object(Closure), Array)
#5 /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/public/index.php(87): Orchestra\routing\Router::handle('GET', 'test', 'test', Object(Orchestra\http\Request))
#6 {main}
[2024-12-29 19:06:51 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/forte/Forte.php, message: a1b2c3d4e5f6g7h8i9j0
[2024-12-29 19:06:51 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php, message: SELECT * FROM sessions WHERE session_id = ?
[2024-12-29 19:06:51 INFO]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php, message: SELECT * FROM users WHERE id = ?
[2024-12-29 19:06:51 EXCEPTION CAUGHT]: endpoint: , Controller: /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/forte/Forte.php, message: PDOException: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'orchestra.users' doesn't exist in /Applications/XAMPP/xamppfiles/htdocs/Orchestra-Framework/Orchestra/database/RecordBuilder.php:206
Stack trace:
